時間軸,コード,銘柄名,シグナル種別,シグナル名,継続,詳細
日足,8001,伊藤忠商事,売り,RSI ダイバージェンス (弱気),2,株価が高値圏だがRSIは下落（反転示唆）
日足,8001,伊藤忠商事,売り,十字線（天井圏）,2,始値≒終値、長いヒゲ — upトレンドの転換を暗示
日足,8058,三菱商事,売り,RSI ダイバージェンス (弱気),2,株価が高値圏だがRSIは下落（反転示唆）
日足,9432,ＮＴＴ,売り,パーフェクトオーダー (弱気),5,短期<中期<長期、3本すべて下落中
日足,9434,ソフトバンク,売り,パーフェクトオーダー (弱気),3,短期<中期<長期、3本すべて下落中
日足,9501,東京電力ホールディングス,売り,RSI 買われすぎ反転,1,RSI(14)が67.3へ下落（70以上から反転）
日足,9501,東京電力ホールディングス,売り,黒三兵,2,3日連続の大陰線 — 急落トレンドの継続
週足,285A,キオクシアホールディングス,買い,パーフェクトオーダー (強気),11,短期>中期>長期、3本すべて上昇中
週足,3103,ユニチカ,買い,パーフェクトオーダー (強気),16,短期>中期>長期、3本すべて上昇中
週足,4307,野村総合研究所,買い,ボリンジャー下限反発,1,終値がBB-2σ以下から反発 — 売られすぎ反転
週足,4307,野村総合研究所,買い,ADX トレンド発生,1,ADX(14)が28.9へ上昇（25超え＝強いトレンド開始）
週足,4307,野村総合研究所,買い,包み足（陽線）,1,前日陰線を当日陽線が完全に包み込み — 強気反転
週足,4307,野村総合研究所,買い,出来高急増（陽線）,1,出来高が20日平均の2.1倍（陽線）— 買い集め
週足,4307,野村総合研究所,買い,リバーサル・デー（強気）,1,前日の高安を包み込み陽線引け — 外側日反転
週足,4564,オンコセラピー・サイエンス,買い,たくり線,1,下落トレンドで非常に長い下ヒゲ＋極小実体 — 反転示唆
週足,4582,シンバイオ製薬,買い,出来高急増（陽線）,2,出来高が20日平均の5.8倍（陽線）— 買い集め
週足,4596,窪田製薬ホールディングス,買い,パーフェクトオーダー (強気),3,短期>中期>長期、3本すべて上昇中
週足,4596,窪田製薬ホールディングス,買い,出来高急増（陽線）,6,出来高が20日平均の2.1倍（陽線）— 買い集め
週足,5016,ＪＸ金属,買い,窓開け上昇（ギャップアップ）,1,前日高値を上回る位置から寄付き（ギャップ +1.6%）
週足,5803,フジクラ,買い,パーフェクトオーダー (強気),4,短期>中期>長期、3本すべて上昇中
週足,5803,フジクラ,買い,窓開け上昇（ギャップアップ）,1,前日高値を上回る位置から寄付き（ギャップ +1.0%）
週足,6098,リクルートホールディングス,買い,ボリンジャー下限反発,1,終値がBB-2σ以下から反発 — 売られすぎ反転
週足,6098,リクルートホールディングス,買い,明けの明星,1,大陰線→小実体→大陽線 — 劇的な強気反転
週足,6140,旭ダイヤモンド工業,買い,パーフェクトオーダー (強気),8,短期>中期>長期、3本すべて上昇中
週足,6140,旭ダイヤモンド工業,買い,出来高急増（陽線）,1,出来高が20日平均の5.9倍（陽線）— 買い集め
週足,6501,日立製作所,買い,パーフェクトオーダー (強気),18,短期>中期>長期、3本すべて上昇中
週足,6501,日立製作所,買い,終値がSMA短期を上抜け,1,終値がSMA13を下から上へ突破
週足,6701,日本電気,買い,ボリンジャー下限反発,1,終値がBB-2σ以下から反発 — 売られすぎ反転
週足,6701,日本電気,買い,包み足（陽線）,1,前日陰線を当日陽線が完全に包み込み — 強気反転
週足,6740,ジャパンディスプレイ,買い,パーフェクトオーダー (強気),8,短期>中期>長期、3本すべて上昇中
週足,6758,ソニーグループ,買い,RSI ダイバージェンス (強気),1,株価が安値圏だがRSIは上昇（反転示唆）
週足,6981,村田製作所,買い,パーフェクトオーダー (強気),3,短期>中期>長期、3本すべて上昇中
週足,6981,村田製作所,買い,MACD ゴールデンクロス,1,MACD線がシグナル線を上抜け — 上昇モメンタム
週足,7011,三菱重工業,買い,パーフェクトオーダー (強気),4,短期>中期>長期、3本すべて上昇中
週足,7013,ＩＨＩ,買い,パーフェクトオーダー (強気),25,短期>中期>長期、3本すべて上昇中
週足,7063,Ｂｉｒｄｍａｎ,買い,終値がSMA短期を上抜け,1,終値がSMA13を下から上へ突破
週足,7063,Ｂｉｒｄｍａｎ,買い,パラボリックSAR 反転 (買い),1,SARが株価の下側に移動 — トレンド転換（買い）
週足,7063,Ｂｉｒｄｍａｎ,買い,出来高急増（陽線）,1,出来高が20日平均の10.0倍（陽線）— 買い集め
週足,7063,Ｂｉｒｄｍａｎ,買い,リバーサル・デー（強気）,1,前日の高安を包み込み陽線引け — 外側日反転
週足,7203,トヨタ自動車,買い,パーフェクトオーダー (強気),22,短期>中期>長期、3本すべて上昇中
週足,7211,三菱自動車工業,買い,ゴールデンクロス (短期/中期),1,SMA13がSMA26を上抜け
週足,8001,伊藤忠商事,買い,パーフェクトオーダー (強気),28,短期>中期>長期、3本すべて上昇中
週足,8058,三菱商事,買い,パーフェクトオーダー (強気),9,短期>中期>長期、3本すべて上昇中
週足,8306,三菱ＵＦＪフィナンシャル・グループ,買い,パーフェクトオーダー (強気),28,短期>中期>長期、3本すべて上昇中
週足,8316,三井住友フィナンシャルグループ,買い,パーフェクトオーダー (強気),28,短期>中期>長期、3本すべて上昇中
週足,8604,野村ホールディングス,買い,パーフェクトオーダー (強気),28,短期>中期>長期、3本すべて上昇中
週足,8750,第一生命ホールディングス,買い,パーフェクトオーダー (強気),14,短期>中期>長期、3本すべて上昇中
週足,9432,ＮＴＴ,買い,はらみ足（陽はらみ）,1,大陰線の実体内に小陽線が収まる — 売り圧力枯渇
週足,9432,ＮＴＴ,買い,十字線（底値圏）,1,始値≒終値、長いヒゲ — downトレンドの転換を暗示
週足,285A,キオクシアホールディングス,売り,十字線（天井圏）,1,始値≒終値、長いヒゲ — upトレンドの転換を暗示
週足,3103,ユニチカ,売り,騰落率オーバーシュート (上方),8,5日MA乖離率 +40.7% — 過熱感（反落注意）
週足,3697,ＳＨＩＦＴ,売り,パーフェクトオーダー (弱気),11,短期<中期<長期、3本すべて下落中
週足,4564,オンコセラピー・サイエンス,売り,パーフェクトオーダー (弱気),1,短期<中期<長期、3本すべて下落中
週足,4564,オンコセラピー・サイエンス,売り,首吊り線,1,上昇トレンドで長い下ヒゲ＋極小実体 — 天井示唆
週足,4582,シンバイオ製薬,売り,騰落率オーバーシュート (上方),2,5日MA乖離率 +45.3% — 過熱感（反落注意）
