datetime,action,symbol,price,qty,order_type,obi,cvd,micro_price,pnl,status,detail
2026-02-20T10:19:46.601806+09:00,BUY_ENTRY,5016,3385.0,100,limit,0.7895,124700,3384.9,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:19:47.410898+09:00,BUY_ENTRY,5016,3385.0,100,limit,0.7778,130100,3384.9,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:19:54.061700+09:00,BUY_ENTRY,7013,4353.0,100,limit,0.9444,215300,4353.0,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:19:54.130134+09:00,BUY_ENTRY,7013,4353.0,100,limit,0.9444,218700,4353.0,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:20:02.057015+09:00,BUY_ENTRY,3103,1260.0,100,limit,0.8571,61600,1260.9,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:20:32.140082+09:00,BUY_ENTRY,9984,4303.0,100,limit,0.5833,375500,4302.8,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49675614""}"
2026-02-20T10:20:36.237688+09:00,CLOSE_SIGNAL,9984,4301.0,100,limit,,,,-200,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49675620""}"
2026-02-20T10:20:51.377637+09:00,BUY_ENTRY,4005,568.5,100,limit,0.8000,1580200,568.5,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49675650""}"
2026-02-20T10:20:52.817058+09:00,CLOSE_SIGNAL,4005,568.4,100,limit,,,,-10,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49675653""}"
2026-02-20T10:20:52.890810+09:00,BUY_ENTRY,7013,4360.0,100,limit,0.8122,390900,4361.8,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:20:52.959816+09:00,BUY_ENTRY,7013,4362.0,100,limit,0.8122,408200,4361.8,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:20:53.004478+09:00,BUY_ENTRY,7013,4363.0,100,limit,0.8122,425500,4361.8,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:21:18.394374+09:00,BUY_ENTRY,7013,4355.0,100,limit,0.4667,652500,4357.7,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:21:18.520619+09:00,BUY_ENTRY,7013,4358.0,100,limit,0.4667,653200,4357.7,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:21:18.552190+09:00,BUY_ENTRY,7013,4358.0,100,limit,0.4667,653900,4357.7,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:21:45.599546+09:00,BUY_ENTRY,7013,4362.0,100,limit,0.7778,655300,4361.9,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:21:45.743448+09:00,BUY_ENTRY,7013,4362.0,100,limit,0.7778,656000,4361.9,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:21:56.439955+09:00,BUY_ENTRY,7013,4361.0,100,limit,0.8095,472800,4360.9,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:22:12.476693+09:00,BUY_ENTRY,7013,4356.0,100,limit,0.9062,495600,4356.0,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:22:12.516863+09:00,BUY_ENTRY,7013,4356.0,100,limit,0.9062,501400,4356.0,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:22:15.900211+09:00,BUY_ENTRY,9984,4302.0,100,limit,0.9459,437700,4301.0,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49675742""}"
2026-02-20T10:22:16.357559+09:00,CLOSE_SIGNAL,9984,4301.0,100,limit,,,,-100,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49675745""}"
2026-02-20T10:23:10.614782+09:00,BUY_ENTRY,7013,4359.0,100,limit,0.9091,419900,4359.0,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:23:10.662302+09:00,BUY_ENTRY,7013,4359.0,100,limit,0.9091,423900,4359.0,,FAIL,"{""Code"": 4002004, ""Message"": ""トリガチェックエラー - 詳細はkabuSログファイルを確認してください""}"
2026-02-20T10:24:31.949081+09:00,BUY_ENTRY,4506,2594.0,100,limit,0.8333,288700,2594.0,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49675940""}"
2026-02-20T10:24:32.041958+09:00,CLOSE_SIGNAL,4506,2595.0,100,limit,,,,100,FAIL,"{""Code"": 1009001, ""Message"": ""建玉が選択されていません。""}"
2026-02-20T10:24:35.094359+09:00,BUY_ENTRY,7013,4349.0,100,limit,0.8065,471900,4349.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:24:35.468252+09:00,BUY_ENTRY,7013,4349.0,100,limit,0.8065,474400,4349.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:24:40.571394+09:00,BUY_ENTRY,7013,4350.0,100,limit,0.9310,468800,4351.0,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:24:48.099813+09:00,BUY_ENTRY,9501,696.3,100,limit,0.5500,236500,696.3,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49675957""}"
2026-02-20T10:24:55.623663+09:00,CLOSE_SIGNAL,9501,696.3,100,limit,,,,0,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49675969""}"
2026-02-20T10:24:56.038070+09:00,BUY_ENTRY,7013,4352.0,100,limit,0.6786,450300,4351.7,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:24:56.572991+09:00,BUY_ENTRY,7013,4351.0,100,limit,0.6786,454100,4351.7,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:24:57.110281+09:00,BUY_ENTRY,7013,4351.0,100,limit,0.6786,457900,4351.7,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:24:59.749853+09:00,BUY_ENTRY,7013,4353.0,100,limit,0.9048,460400,4353.0,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:25:00.241768+09:00,BUY_ENTRY,7013,4353.0,100,limit,0.9048,462300,4353.0,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:26:30.652494+09:00,BUY_ENTRY,7013,4365.0,100,limit,0.3333,531500,4364.7,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:26:31.084969+09:00,BUY_ENTRY,7013,4365.0,100,limit,0.2000,531700,4364.6,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:26:31.512383+09:00,BUY_ENTRY,7013,4365.0,100,limit,0.2727,532000,4364.6,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:26:31.868932+09:00,BUY_ENTRY,7013,4364.0,100,limit,0.2727,532300,4364.6,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:26:32.245773+09:00,BUY_ENTRY,7013,4364.0,100,limit,0.3333,532900,4364.7,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:26:32.975962+09:00,BUY_ENTRY,7013,4364.0,100,limit,0.6000,533900,4363.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:26:33.508690+09:00,BUY_ENTRY,7013,4364.0,100,limit,0.6190,535200,4363.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:26:33.885658+09:00,BUY_ENTRY,7013,4364.0,100,limit,0.6190,536500,4363.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:26:34.344968+09:00,BUY_ENTRY,7013,4364.0,100,limit,0.6190,537800,4363.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:26:34.768364+09:00,BUY_ENTRY,7013,4364.0,100,limit,0.7000,540500,4363.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:26:40.402719+09:00,BUY_ENTRY,4506,2559.0,100,limit,0.7143,257600,2559.8,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49707102""}"
2026-02-20T10:26:41.681223+09:00,CLOSE_SIGNAL,4506,2560.0,100,limit,,,,100,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49707106""}"
2026-02-20T10:26:59.947606+09:00,BUY_ENTRY,7013,4365.0,100,limit,0.9000,552100,4364.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:27:21.679969+09:00,BUY_ENTRY,4506,2560.0,100,limit,0.8873,20000,2560.5,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49707161""}"
2026-02-20T10:27:23.926854+09:00,CLOSE_SIGNAL,4506,2556.0,100,limit,,,,-400,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49707166""}"
2026-02-20T10:27:27.530819+09:00,BUY_ENTRY,4506,2552.5,100,limit,0.7500,8400,2552.9,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49707171""}"
2026-02-20T10:27:28.432196+09:00,CLOSE_SIGNAL,4506,2553.0,100,limit,,,,50,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49707174""}"
2026-02-20T10:27:30.077919+09:00,BUY_ENTRY,4506,2549.5,100,limit,0.9412,600,2551.0,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49707181""}"
2026-02-20T10:27:32.074785+09:00,CLOSE_SIGNAL,4506,2550.5,100,limit,,,,100,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49707185""}"
2026-02-20T10:27:51.202781+09:00,BUY_ENTRY,7013,4363.0,100,limit,0.6364,667300,4362.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:27:51.646487+09:00,BUY_ENTRY,7013,4363.0,100,limit,0.6364,669400,4362.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:27:52.047355+09:00,BUY_ENTRY,7013,4363.0,100,limit,0.6364,671500,4362.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T10:27:52.522095+09:00,BUY_ENTRY,7013,4363.0,100,limit,0.6364,673600,4362.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
